,Название товара,Цена,Мера
0,Булгур №1,166.0,шт
1,Горох №1 колотый,49.0,шт
2,Горох Алтайская Сказка колотый,75.29,шт
3,Горох Макфа дробленый,72.0,шт
4,Горох Макфа колотый,89.29,шт
5,Горох Султан колотый,87.0,шт
6,Гречка №1,29.0,шт
7,Гречка №1 900г,45.29,шт
8,Гречка SMART,65.29,шт
9,Гречка SPAR 5х80г,119.49,шт
10,Гречка Гудвилл  ядрица,79.29,шт
11,Гречка Гудвилл ядрица,203.0,шт
12,Гречка Макфа ядрица,140.0,шт
13,Гречка Мистраль ядрица,146.0,шт
14,Гречка Мистраль ядрица,156.0,шт
15,Гречка Султан Алтайская,166.0,шт
16,Гречка Увелка Экстра быстроразваривающаяся,128.0,шт
17,Клетчатка пшеничная Золотые Злаки Сибири расторопша,210.0,шт
18,Крупа №1 перловая,19.29,шт
19,Крупа №1 перловая,60.0,шт
20,Крупа Булгур Макфа пшеничная,176.0,шт
21,Крупа гречневая Makfa ядрица пакетированная 400г,79.29,шт
22,Крупа гречневая Алтайская Сказка ядрица пакетированная 400г в,70.0,шт
23,Крупа гречневая Пассим Алтайская пакетированная 500г в,86.0,шт
24,Крупа гречневая Царь,122.0,шт
25,Крупа Киноа Макфа,290.0,шт
26,Крупа кукурузная Агро-Альянс,88.0,шт
27,Крупа Кускус Макфа пшеничная,215.0,шт
28,Крупа манная SMART,69.0,шт
29,Крупа манная Агро-Альянс,72.0,шт
30,Крупа манная Алтайская сказка из полбы,89.0,шт
31,Крупа манная Алтайская сказка с клечаткой,59.29,шт
32,Крупа манная Гудвилл,114.0,шт
33,Крупа манная Макфа,99.29,шт
34,Крупа манная Мистраль,113.0,шт
35,Крупа манная Пассим,72.0,шт
36,Крупа манная Царь,94.0,шт
37,Крупа Нут SPAR Natural,99.29,шт
38,Крупа Нут Макфа,176.0,шт
39,Крупа овсяная Царь,115.0,шт
40,Крупа овсянная Алтайская сказка 700г,69.29,шт
41,Крупа перловая SMART,46.0,шт
42,Крупа перловая Алтайская Сказка пакетированная 400г в,55.29,шт
43,Крупа перловая Макфа,75.29,шт
44,Крупа перловая Царь,114.0,шт
45,Крупа Полба Макфа пшеничная пропаренная,115.0,шт
46,Крупа полбы Вастэко цельная,142.0,шт
47,Крупа пшеничная Алтайская сказка Полтавская,75.29,шт
48,Крупа пшеничная Макфа Артек,89.29,шт
49,Крупа пшеничная Макфа Полтавская пак. 400г,82.29,шт
50,Крупа пшеничная Царь Полтавкая-М,111.0,шт
51,Крупа пшено Алтайская Сказка шлифованное пакетированное 400г в,69.29,шт
52,Крупа ячневая Гудвилл дробленная,74.0,шт
53,Крупа ячневая Макфа пакетированная 400г в,75.0,шт
54,Маш №1,96.0,шт
55,Нокот №1,76.0,шт
56,Овес Образ Жизни в облочке,103.0,шт
57,Овес Образ Жизни голозерный,119.5,шт
58,Отруби Золотые Злаки Сибири овсяные,127.0,шт
59,Отруби Сибирские пшенично-гречневые,114.0,шт
60,Отруби Сибирские пшенично-фруктовые,114.0,шт
61,Отруби Сибирские пшенично-ягодные,114.0,шт
62,Пшено №1,46.0,шт
63,Пшено №1,85.0,шт
64,Пшено Гудвилл шлифованное,122.0,шт
65,Пшено Макфа шлифованное,124.0,шт
66,Пшено Султан отборное,100.0,шт
67,Рис Makfa круглозерный шлифованный,182.0,шт
68,Рис MIADI PREMIUM басмати пропаренный,335.48,шт
69,Рис MIADI басмати пропаренный,339.0,шт
70,Рис №1 Байдала 900г,173.0,шт
71,Рис №1 Индийский Басмати,222.0,шт
72,Рис №1 Краснодарский круглозерн ТУ,54.0,шт
73,Рис №1 Краснодарский круглозерн ТУ 900г,109.0,шт
74,Рис №1 Лидер Казахстанский,145.49,шт
75,Рис №1 Пакистанский,125.48,шт
76,Рис №1 Сечка,35.29,шт
77,Рис №1 Ташкенский Лазер 900г,255.48,шт
78,Рис SMART длиннозерный,119.49,шт
79,Рис SMART круглозерный,144.0,шт
80,Рис SMART пропаренный,133.0,шт
81,Рис SPAR длиннозерный 900г,99.29,шт
82,Рис SPAR длиннозерный пак,167.0,шт
83,Рис SPAR круглозерный пак,99.29,шт
84,Рис SPAR пропаренный,195.0,шт
85,Рис Алтайская Сказка длиннозерный пропаренный пакетированный 400г в,95.29,шт
86,Рис Гудвилл Краснодарский шлиф. 800г,159.5,шт
87,Рис Гудвилл пропаренный,209.0,шт
88,Рис Макфа Басматти,192.0,шт
89,Рис Макфа длиннозерные пропаренный,192.0,шт
90,Рис Макфа Жасмин,143.48,шт
91,Семена амаранта Золотые Злаки Сибири,285.0,шт
92,Семена киноа Золотые Злаки Сибири белые,499.0,шт
93,Семена конопли Радоград,392.0,шт
94,Семена коричневого льна Компас Здоровья,158.0,шт
95,Семена кунжута Радоград белые очищенные,392.0,шт
96,Семена кунжута Радоград черные неочищенные,392.0,шт
97,Семена льна Компас Здоровья,150.0,шт
98,Семена расторопши Радоград,297.0,шт
99,Семена тыквы Радоград штирийские голосеменные,712.0,шт
100,Семена черного тмина Золотые Злаки Сибири,491.0,шт
101,Семена чиа Золотые Злаки Сибири черные,491.0,шт
102,Султан буудай акшагы,83.0,шт
103,Фасоль №1 красная,105.0,шт
104,Чечевица №1,70.0,шт
105,Чечевица №1 700г,79.29,шт
106,Чечевица Макфа зеленая,149.48,шт
107,Чечевица Макфа красная,198.0,шт
108,Чечевица Мистраль красная Персидская,198.0,шт
